id,page_title,section_title,section_index,response_text,created_at,updated_at,user_identifier,completion_token,email,prolific_id,study_type
73,What Have Language Models Learned?,Differences Over Time,4,static,2026-01-16 12:50:00.490416,2026-01-16 12:50:00.490416,,,tailiamalloy@gmail.com,,static
72,What Have Language Models Learned?,How Can We Fix This?,3,static,2026-01-16 12:49:57.149536,2026-01-16 12:49:57.149536,,,tailiamalloy@gmail.com,,static
71,What Have Language Models Learned?,What's in a Name? ,2,static,2026-01-16 12:49:54.295031,2026-01-16 12:49:54.295031,,,tailiamalloy@gmail.com,,static
70,What Have Language Models Learned?,Cattle or Clothes?,1,static,2026-01-16 12:49:49.110829,2026-01-16 12:49:49.110829,,,tailiamalloy@gmail.com,,static
69,What Have Language Models Learned?,Large Language Models ,0,static,2026-01-16 12:49:45.545855,2026-01-16 12:49:45.545855,,,tailiamalloy@gmail.com,,static
68,What Have Language Models Learned?,Differences Over Time,4,cool 1234,2026-01-16 12:49:04.588279,2026-01-16 12:49:04.588279,,,tailiamalloy@gmail.com,,interactive
67,What Have Language Models Learned?,How Can We Fix This?,3,cool 1234,2026-01-16 12:48:59.992575,2026-01-16 12:48:59.992575,,,tailiamalloy@gmail.com,,interactive
66,What Have Language Models Learned?,What's in a Name? ,2,cool 1234,2026-01-16 12:48:51.671883,2026-01-16 12:48:51.671883,,,tailiamalloy@gmail.com,,interactive
65,What Have Language Models Learned?,Cattle or Clothes?,1,cool1234,2026-01-16 12:48:33.679539,2026-01-16 12:48:33.679539,,,tailiamalloy@gmail.com,,interactive
64,What Have Language Models Learned?,Large Language Models ,0,Cool1234,2026-01-16 12:48:23.369945,2026-01-16 12:48:23.369945,,,tailiamalloy@gmail.com,,interactive
63,What Have Language Models Learned?,Differences Over Time,4,asdasd ,2026-01-16 12:45:26.733277,2026-01-16 12:45:26.733277,,K10Z7LFG8L,,,
62,What Have Language Models Learned?,How Can We Fix This?,3,asdasd ,2026-01-16 12:45:19.861493,2026-01-16 12:45:19.861493,,K10Z7LFG8L,,,
61,What Have Language Models Learned?,What's in a Name? ,2,dasdasd ,2026-01-16 12:45:11.465799,2026-01-16 12:45:11.465799,,K10Z7LFG8L,,,
60,What Have Language Models Learned?,Cattle or Clothes?,1,asdasd ,2026-01-16 12:45:05.012728,2026-01-16 12:45:05.012728,,K10Z7LFG8L,,,
59,What Have Language Models Learned?,Large Language Models ,0,dasdsad,2026-01-16 12:44:59.152521,2026-01-16 12:44:59.152521,,K10Z7LFG8L,,,
58,What Have Language Models Learned?,Differences Over Time,4,cool3,2026-01-16 12:44:46.632057,2026-01-16 12:44:46.632057,,CYE3OSAVBE,,,
57,What Have Language Models Learned?,How Can We Fix This?,3,cool2,2026-01-16 12:44:42.614375,2026-01-16 12:44:42.614375,,CYE3OSAVBE,,,
56,What Have Language Models Learned?,What's in a Name? ,2,cool1,2026-01-16 12:44:39.997041,2026-01-16 12:44:39.997041,,CYE3OSAVBE,,,
55,What Have Language Models Learned?,Cattle or Clothes?,1,cool1,2026-01-16 12:44:35.161919,2026-01-16 12:44:35.161919,,CYE3OSAVBE,,,
54,What Have Language Models Learned?,Large Language Models ,0,cool,2026-01-16 12:44:32.292040,2026-01-16 12:44:32.292040,,CYE3OSAVBE,,,
53,What Have Language Models Learned?,Differences Over Time,4,cool,2026-01-16 12:42:14.293863,2026-01-16 12:42:14.293863,,QNMJXDLX7H,,,
52,What Have Language Models Learned?,How Can We Fix This?,3,cool,2026-01-16 12:42:10.431339,2026-01-16 12:42:10.431339,,QNMJXDLX7H,,,
51,What Have Language Models Learned?,What's in a Name? ,2,cool,2026-01-16 12:42:07.405634,2026-01-16 12:42:07.405634,,QNMJXDLX7H,,,
50,What Have Language Models Learned?,Cattle or Clothes?,1,cool,2026-01-16 12:42:03.522113,2026-01-16 12:42:03.522113,,QNMJXDLX7H,,,
49,What Have Language Models Learned?,Large Language Models ,0,cool,2026-01-16 12:41:02.327906,2026-01-16 12:41:02.327906,,QNMJXDLX7H,,,
48,What Have Language Models Learned?,Large Language Models ,0,cool!,2026-01-16 12:35:41.046896,2026-01-16 12:35:41.046896,,JY79BZNATX,,,
